X, Y
4421, 4548
4413, 4549
4410, 4559
4408, 4547
-1, -1
4658, 4550
4659, 4543
4662, 4532
4664, 4521
4664, 4512
4657, 4507
4649, 4506
4640, 4509
4630, 4513
4619, 4520
4608, 4530
4597, 4540
4587, 4554
4579, 4565
4575, 4575
4571, 4586
4568, 4594
4568, 4601
4570, 4608
4573, 4615
4579, 4618
4587, 4616
4593, 4614
4600, 4613
4608, 4609
4615, 4605
4621, 4601
4628, 4598
4635, 4594
4641, 4590
4647, 4585
4652, 4581
4658, 4576
4665, 4569
4674, 4561
4683, 4551
4696, 4540
4706, 4526
4722, 4511
4734, 4496
4748, 4481
4760, 4466
4772, 4451
4783, 4436
4793, 4421
4801, 4410
4809, 4399
4815, 4389
4818, 4383
4823, 4376
4826, 4370
4830, 4363
4834, 4359
4829, 4367
4823, 4376
4818, 4383
4812, 4393
4805, 4407
4795, 4421
4787, 4436
4777, 4456
4765, 4477
4754, 4495
4745, 4514
4735, 4535
4725, 4550
4718, 4566
4711, 4578
4707, 4588
4704, 4595
4705, 4587
4710, 4580
-1, -1
4842, 4543
4849, 4543
4855, 4538
4859, 4530
4865, 4521
4868, 4512
4858, 4513
4850, 4517
4842, 4524
4834, 4531
4825, 4540
4817, 4550
4811, 4560
4804, 4571
4800, 4580
4800, 4587
4800, 4594
4801, 4600
4806, 4603
4816, 4603
4823, 4599
4832, 4595
4842, 4587
4852, 4578
4861, 4568
4870, 4559
4876, 4551
4881, 4546
4887, 4543
4887, 4552
4889, 4560
4889, 4567
4891, 4576
4891, 4583
4891, 4591
4893, 4598
4894, 4605
4895, 4611
-1, -1
4976, 4525
4977, 4518
4984, 4514
4991, 4514
4997, 4521
4998, 4527
5000, 4535
5003, 4544
5004, 4554
5007, 4565
5010, 4577
5013, 4587
5015, 4596
5017, 4603
5020, 4608
5024, 4601
5028, 4596
-1, -1
5095, 4532
5098, 4526
5101, 4518
5095, 4529
5087, 4543
5076, 4562
5062, 4584
5047, 4608
5031, 4632
5016, 4656
5001, 4675
4986, 4694
4976, 4707
4968, 4710
-1, -1
5380, 4380
5385, 4376
5389, 4381
5391, 4387
5391, 4393
5391, 4399
5391, 4407
5387, 4417
5383, 4428
5378, 4439
5371, 4453
5364, 4467
5357, 4481
5349, 4491
5339, 4503
5330, 4515
5322, 4527
5313, 4537
5305, 4545
-1, -1
5280, 4642
5277, 4649
5273, 4655
5269, 4662
-1, -1
1099, 5172
1092, 5175
1087, 5179
1081, 5183
1087, 5186
1093, 5188
1099, 5188
1108, 5189
1120, 5191
1134, 5191
1148, 5190
1166, 5190
1185, 5190
1203, 5190
1220, 5189
1234, 5189
1244, 5185
1252, 5185
1259, 5186
1264, 5181
-1, -1
1234, 5157
1226, 5156
1219, 5156
1212, 5157
1211, 5165
1210, 5179
1211, 5186
1211, 5206
1212, 5227
1212, 5248
1212, 5271
1213, 5295
1214, 5320
1214, 5342
1215, 5360
1216, 5377
1216, 5391
1217, 5399
1219, 5407
1221, 5413
1221, 5393
-1, -1
1357, 5176
1360, 5185
1362, 5193
1364, 5204
1366, 5219
1369, 5234
1370, 5252
1371, 5273
1373, 5292
1373, 5313
1373, 5334
1374, 5351
1374, 5366
1373, 5377
1373, 5384
1370, 5391
1368, 5384
1368, 5369
1372, 5356
1377, 5345
1382, 5333
1388, 5322
1396, 5310
1403, 5301
1411, 5293
1418, 5288
1424, 5287
1431, 5287
1435, 5290
1439, 5295
1445, 5306
1448, 5315
1450, 5327
1452, 5342
1452, 5356
1452, 5368
1452, 5381
1449, 5391
1448, 5401
1451, 5393
-1, -1
1525, 5328
1531, 5333
1534, 5338
1537, 5345
1539, 5352
1542, 5361
1545, 5370
1545, 5379
1544, 5389
1544, 5396
1542, 5403
1537, 5407
1528, 5403
-1, -1
1559, 5170
1561, 5163
1567, 5165
1571, 5171
1578, 5172
-1, -1
1694, 5290
1698, 5286
1702, 5282
1708, 5279
1714, 5282
1719, 5285
1724, 5295
1728, 5304
1730, 5314
1732, 5325
1735, 5335
1737, 5348
1737, 5361
1737, 5371
1735, 5384
1735, 5393
1734, 5400
1737, 5391
1741, 5381
1745, 5370
1752, 5357
1759, 5346
1767, 5335
1774, 5324
1781, 5315
1788, 5307
1795, 5301
1800, 5297
1806, 5296
1813, 5297
1818, 5302
1821, 5310
1824, 5319
1827, 5331
1827, 5345
1827, 5360
1828, 5374
1828, 5389
1826, 5399
1826, 5408
1824, 5417
1820, 5408
-1, -1
1917, 5168
1923, 5169
1928, 5172
1932, 5179
1936, 5189
1939, 5203
1942, 5217
1944, 5237
1946, 5257
1947, 5279
1948, 5298
1948, 5318
1947, 5337
1946, 5352
1944, 5370
1941, 5384
1940, 5395
1939, 5405
1940, 5366
1943, 5392
-1, -1
2013, 5321
2020, 5311
2025, 5306
2030, 5300
2025, 5303
2019, 5307
2011, 5311
2003, 5317
1994, 5322
1984, 5327
1975, 5330
1968, 5333
1961, 5336
1964, 5341
1971, 5347
1977, 5352
1984, 5356
1993, 5362
2002, 5369
2011, 5376
2019, 5380
2028, 5383
2035, 5385
2042, 5385
-1, -1
2352, 5276
2357, 5284
2360, 5293
2363, 5303
2366, 5315
2369, 5330
2372, 5344
2375, 5361
2378, 5375
2381, 5385
2383, 5395
2384, 5401
2387, 5395
2390, 5389
2393, 5376
2400, 5363
2405, 5353
2410, 5342
2415, 5335
2419, 5330
2422, 5325
2425, 5317
2432, 5309
2439, 5305
2449, 5298
-1, -1
2533, 5274
2533, 5280
2534, 5288
2535, 5298
2536, 5313
2539, 5327
2542, 5344
2545, 5358
2548, 5372
2550, 5384
2553, 5392
2552, 5401
2549, 5408
2544, 5404
2539, 5393
-1, -1
2539, 5209
2539, 5199
2539, 5191
2543, 5196
2548, 5200
2555, 5204
2562, 5210
-1, -1
2743, 5308
2749, 5308
2752, 5300
2752, 5292
2749, 5283
2741, 5278
2731, 5280
2720, 5282
2711, 5289
2700, 5299
2690, 5313
2682, 5327
2676, 5345
2673, 5363
2676, 5379
2683, 5394
2692, 5406
2701, 5416
2710, 5426
2724, 5429
2733, 5433
2740, 5433
2748, 5429
2758, 5425
2768, 5417
2777, 5401
2780, 5392
-1, -1
2856, 5172
2860, 5167
2864, 5175
2867, 5186
2871, 5198
2873, 5216
2874, 5237
2876, 5257
2879, 5281
2879, 5307
2880, 5328
2881, 5349
2880, 5370
2879, 5385
2879, 5396
2878, 5406
2877, 5412
2880, 5405
2883, 5395
2890, 5386
2898, 5374
2907, 5361
2915, 5353
2923, 5346
2930, 5342
2937, 5338
2944, 5338
2949, 5344
2953, 5351
2956, 5361
2961, 5372
2964, 5385
2966, 5399
2967, 5412
2967, 5421
2966, 5429
2962, 5437
-1, -1
3137, 5418
3145, 5414
3152, 5414
3159, 5416
3162, 5422
3162, 5432
3159, 5442
3154, 5455
3146, 5468
3135, 5485
3122, 5499
3111, 5512
3100, 5494
3089, 5508
-1, -1
3545, 5172
3552, 5175
3558, 5183
3561, 5192
3563, 5201
3565, 5211
3568, 5223
3570, 5242
3570, 5259
3573, 5278
3574, 5301
3574, 5325
3574, 5346
3574, 5367
3574, 5387
3572, 5403
3574, 5418
3572, 5429
3571, 5439
3570, 5446
3570, 5452
-1, -1
3680, 5341
3680, 5355
3681, 5364
3683, 5371
3689, 5380
3694, 5387
3699, 5394
3706, 5398
3715, 5400
3722, 5402
3728, 5400
3735, 5398
3741, 5390
3744, 5380
3747, 5369
3748, 5357
3748, 5342
3747, 5331
3743, 5323
3732, 5319
3723, 5322
3715, 5325
3704, 5331
3697, 5336
3693, 5342
3688, 5348
3688, 5354
3694, 5354
3702, 5351
-1, -1
3834, 5298
3839, 5301
3839, 5311
3840, 5320
3840, 5331
3840, 5345
3842, 5360
3844, 5375
3847, 5388
3853, 5400
3859, 5408
3866, 5415
3873, 5419
3879, 5420
3888, 5415
